순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1,명량,김한민,빅스톤픽쳐스,,씨제이이엔엠,2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910",17613682,"33,121,225,810","4,163,666",사극,15세이상관람가,일반영화,"최민식, 류승룡, 조진웅","10072251, 10019065, 10067353","김명곤, 진구, 이정현, 권율, 노민우, 이승준, 오타니 료헤이, 박보검, 김원해, 이해영, 장준녕, 김길동, 김강일, 강태영, 김민석, 박노식, 최덕문, 조복래, 문영동, 이주실, 주석태, 고경표, 김태훈, 한이진, 신유람, 정원준","10004052, 10070417, 10057329, 20175963, 20236729, 10056268, 20113992, 20191126, 20189746, 20164537, 20236946, 20121442, 20237747, 10000912, 20134172, 20126810, 10072168, 20203246, 10026760, 10057435, 20320812, 20136885, 20333032, 20276090, 20346433, 20180711",10006204
2,극한직업,이병헌,"어바웃잇, 영화사 해그림 주식회사, 씨제이이엔엠",,씨제이이엔엠,2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516",16264944,"31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화,"류승룡, 이하늬, 진선규, 이동휘, 공명","10019065, 20125825, 20137049, 20186095, 20179005","양현민, 장진희, 오정세, 이중옥, 송영규, 신하균, 김의성, 김종수, 허준석","20174970, 20155087, 10050734, 20334136, 10037124, 10040665, 10005383, 20163848, 10088450",20125862
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스, 덱스터스튜디오",,롯데쇼핑롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137",14410754,"27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화,"하정우, 차태현, 주지훈, 김향기, 마동석","10087253, 10071209, 10069179, 10006228, 10021341","김동욱, 도경수, 오달수, 임원희, 장광, 정해균, 김수안, 정지훈, 예수정, 이준혁","10003967, 20209526, 10050151, 10058708, 10060043, 10062378, 20153744, 20235446, 10049950, 20133615",10005151
4,국제시장,윤제균,"제이케이필름, 씨제이이엔엠",,씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,"110,828,014,630",14245998,"25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화,"황정민, 김윤진, 오달수, 정진영","10090290, 10005297, 10050151, 10062279","장영남, 라미란, 김슬기, 정영기, 맹세창, 박재우, 김재철","10060331, 10013826, 20171140, 10061967, 10025537, 20133283, 20157703",10054492
8,베테랑,류승완,"외유내강, 필름케이",,씨제이이엔엠,2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250",13395400,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화,"황정민, 유아인, 유해진, 오달수","10090290, 10053802, 10054128, 10050151","장윤주, 김시후, 오대환, 정웅인, 정만식, 송영창, 진경, 유인영, 박소담, 이동휘, 배성우, 천호진","20211726, 10004860, 20111279, 10062050, 10061699, 10037131, 10070393, 10053902, 20209686, 20186095, 20136191, 10071900",10019069
9,괴물,봉준호,영화사청어람,,쇼박스,2006-07-27,개봉영화,장편,한국,0,0,13019740,0,"3,571,254",SF,12세관람가,일반영화,"송강호, 변희봉, 박해일, 배두나, 고아성","10037018, 10031400, 10029474, 10030016, 10001670","오달수, 박노식, 고수희, 윤제문, 김뢰하, 이재응, 이왕우","10050151, 20126810, 10001662, 10054493, 10004034, 10057221, 20162029",10031641
10,도둑들,최동훈,케이퍼필름,,쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500",12983330,"26,089,426,500","3,468,906",액션,15세이상관람가,일반영화,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 이심결, 증국상","10005276, 10006380, 10057315, 10061467, 10058502, 10006221, 10050151, 20125794, 10056431, 10069713","최덕문, 최진호, 예수정","10072168, 20134082, 10049950",10072187
11,7번방의 선물,이환경,"화인웍스, 씨엘엔터테인먼트",,넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670",12811206,"22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화,"류승룡, 박신혜, 갈소원, 오달수, 박원상, 김정태, 정만식, 김기천","10019065, 10028892, 20157232, 10050151, 10029013, 10005617, 10061699, 10003728","조덕현, 조재윤, 박길수","10065617, 10066926, 10028517",10058252
12,암살,최동훈,케이퍼필름,,쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781",12705700,"25,306,651,181","3,155,960",액션,15세이상관람가,일반영화,"전지현, 이정재, 하정우","10061467, 10057315, 10087253","오달수, 조진웅, 이경영, 최덕문, 김의성, 박병은, 김홍파, 진경, 김인우, 심희섭, 허지원, 허정도, 정인겸","10050151, 10067353, 10054755, 10072168, 10005383, 10028660, 20175721, 10070393, 20207886, 20153620, 20234406, 20213266, 10062132",10072187
13,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스, 홍필름, 비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트, 메가박스중앙플러스엠",2022-05-18,개봉영화,장편,한국,"2,498","131,294,002,978",12693023,"29,072,834,869","2,755,769",범죄,15세이상관람가,일반영화,"마동석, 손석구, 최귀화","10021341, 20312856, 20115207","박지환, 허동원, 송하준, 정재광, 남문철, 박지영, 이주원, 음문석, 김찬형, 이규원, 전진오, 이다일, 김영성, 차우진","20110896, 20189148, 20235386, 20281329, 10007518, 20110875, 20217606, 20328732, 20373835, 20377390, 20366677, 20335380, 20332313, 20341009",20066385
15,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스, 씨제이이엔엠",,씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,"88,900,208,769",12319542,"25,192,804,727","3,355,700",사극,15세이상관람가,일반영화,"이병헌, 류승룡, 한효주, 장광, 김인권, 심은경, 김명곤","10055626, 10019065, 10087820, 10060043, 10005410, 10040874, 10004052","박지아, 이양희, 전국향","10029305, 20127572, 20320876",10072983
16,왕의 남자,이준익,"씨네월드, 이글픽쳐스",,시네마서비스,2005-12-29,개봉영화,장편,한국,0,0,12302831,0,"3,660,842",드라마,15세이상관람가,일반영화,"감우성, 이준기, 유해진, 정진영","10000461, 10057469, 10054128, 10062279","강성연, 이동수, 김주홍, 장항선, 정석용","10000686, 20143414, 20164881, 10060605, 10061811",10057485
17,신과함께-인과 연,김용화,"리얼라이즈픽쳐스, 덱스터스튜디오",,롯데컬처웍스롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809",12253247,"22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화,"하정우, 주지훈, 김향기, 마동석, 김동욱","10087253, 10069179, 10006228, 10021341, 10003967","도경수, 이준혁, 정지훈, 김동욱, 조한철, 장광","20209526, 20133615, 20235446, 10003967, 10067417, 10060043",10005151
18,택시운전사,장훈,더램프,,쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049",12099971,"22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화,"송강호, 토마스 크레취만, 류준열","10037018, 10080533, 20208626","유해진, 박혁권, 최귀화, 이정은, 차순배, 이봉련, 류성현, 허정도","10054128, 10029480, 20115207, 20189363, 20302169, 20328214, 10019055, 20213266",10060674
19,태극기 휘날리며,강제규,강제규필름,,"다자인소프트, 쇼박스",2004-02-05,개봉영화,장편,한국,0,0,11746135,0,"3,509,563",전쟁,15세관람가,일반영화,"장동건, 원빈, 이은주, 조원희, 이장욱, 임성택","10060114, 10052465, 10057024, 10066769, 10057175, 20156355","공형진, 이영란, 정희준, 장민호","10001915, 10056645, 20124730, 10060194",10000854
20,부산행,연상호,영화사레드피터,,넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048",11565078,"23,020,827,248","2,754,686",액션,15세이상관람가,일반영화,"공유, 정유미, 마동석, 김수안","10001901, 10062071, 10021341, 20153744","최우식, 안소희, 김의성, 예수정, 박명신","20174763, 10043550, 10005383, 10049950, 10028600",10049814
21,해운대,윤제균,제이케이필름,,CJ ENM,2009-07-22,개봉영화,장편,한국,753,"81,934,638,201",11453338,"21,141,403,500","2,791,508",액션,12세이상관람가,일반영화,"설경구, 하지원, 박중훈, 엄정화","10035772, 10087280, 10029293, 10047352","이민기, 강대규, 김원영, 김유빈, 신정원, 성유경, 박재홍, 나승현, 김재경, 장원준, 임동우, 김정곤, 정종원, 이지애, 최재섭, 장명갑, 지대한, 천보근, 강예원","10055447, 10000533, 10005215, 10005237, 20133172, 20134070, 20134373, 20137672, 20154466, 20155038, 20155473, 20159253, 20159974, 20163360, 10072659, 10060151, 10069842, 20110313, 20066563",10054492
22,변호인,양우석,위더스필름,,넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화,"송강호, 김영애, 오달수, 곽도원, 임시완","10037018, 10004995, 10050151, 20127192, 20171222","송영창, 정원중, 조민기, 이항나, 이성민, 차광수, 한기중, 심희섭, 김동현, 조완기, 차은재","10037131, 10062060, 10065825, 10058031, 20110148, 10071085, 10087396, 20153620, 20069196, 20179942, 20189354",20167784
